10000	How the fu*k! Who the heck! moved my fridge!... should I knock the landlord door. #angry #mad ##	0	2	0	2	0	0	2.594	-3.216	2.499	-8.972	0	0	0	0	0	0	0	0	0	0	1.247481	0.712411	1.432655	0.896212	0.660261	0.399578	0.365434	0.688213	3.912358	1.704728	4.663907	0	0.723601	0.510226	0	0.949511	0.340764	0.096614	0	-0.550298	0	0	0	0.938
10001	So my Indian Uber driver just called someone the N word. If I wasn't in a moving vehicle I'd have jumped out #disgusted 	2	0	0	0	0	0	1.461	-4.635	1.657	-5.858	0	0	0	0	0	0	0	1	0	1	1.028711	0.651617	0.79151	0.945852	0.388586	0.437289	0.51076	0.64031	3.965175	1.356157	1.388628	1.199799	2.661056	1.220922	0.267772	0.016074	0.32129	0.134473	1.182576	-0.875947	0	0	0	0.896
10002	@DPD_UK I asked for my parcel to be delivered to a pick up store not my address #fuming #poorcustomerservice	0	0	0	0	0	0	0.901	-2.888	1.682	-5.76	0	1	0	0	0	0	0	0	0	2	0.707265	0.582976	0.476664	0.641372	0.376348	0.446153	0.337595	0.761668	2.873316	1.853957	3.165992	1.871701	0.348634	0.562704	0	0	0.026199	0.668617	0.370536	-0.576042	0	0	1	0.896
10003	so ef whichever butt wipe pulled the fire alarm in davis bc I was sound asleep #pissed #angry #upset #tired #sad #tired #hangry ######	1	1	0	1	0	-4	1.807	-10.257	3.526	-18.159	0	0	0	2	0	0	1	0	2	0	0.93845	0.372147	0.914771	0.688122	0.242839	0.881115	0.19774	0.485461	2.628391	1.01307	7.589339	1.058823	1.327044	0.897109	0.47631	3.803074	0.677908	0	1.123214	-0.491865	0	0	0	0.896
10004	Don't join @BTCare they put the phone down on you, talk over you and are rude. Taking money out of my acc willynilly! #fuming	0	2	0	1	1	-2	3.614	-4.648	2.097	-11.458	1	1	0	0	1	0	1	1	0	3	1.624668	0.74203	1.176938	0.989218	0.745677	0.669931	0.382407	0.878082	4.646008	2.081105	3.140754	0.852858	1.813778	0.199927	0.110504	0.288509	1.020907	0.453436	0.555556	-1.100153	0	0	1	0.896
10005	My blood is boiling	0	2	0	1	0	0	0	-1.414	0.471	0	0	0	0	0	0	0	0	0	0	0	0.116016	0.047991	0.08002	0.073727	0.029854	0.051858	0.020031	0.053001	0.437794	0.091732	1.176647	0	0.349379	0.311129	0	0	0.00592	0	0	-0.25	0	0	0	0.875
10006	When you've still got a whole season of Wentworth to watch and a stupid cunt in work ruins it for us _��__��_ @__KirstyGA #raging #oldcunt	0	1	1	3	0	-9	1.665	-6.26	4.273	-5.998	0	1	0	1	0	0	0	0	1	0	1.210498	0.643838	1.415157	1.02403	0.454562	0.464952	0.385583	0.887197	3.708368	2.141001	4.242095	0.916756	0.899713	0.418885	0.253243	0.08889	0.726205	0.226777	0.761335	-1.332738	0	0	0	0.875
10007	@bt_uk why does tracking show my equipment delivered, when it wasn't? Why is my service suddenly delayed? We've already 3 weeks. #fuming	0	0	0	1	0	-1	0.996	-8.409	2.25	-10.247	0	0	0	0	0	0	1	1	1	0	1.123746	0.635905	0.938207	0.97661	0.28325	0.648724	0.379499	0.671723	4.464404	1.16797	4.125058	2.487578	1.009105	3.106465	0.227185	0	0.31878	0	0.293056	-0.4375	0	0	0	0.875
10008	@TeamShanny legit why i am so furious with him, people are such fucking idiots.	0	2	0	3	0	-7	1.348	-3.41	1.405	-5.068	1	0	1	0	0	0	0	0	1	0	1.75121	0.463009	1.720836	1.211464	0.389369	0.988229	0.291348	0.632112	4.70574	1.332498	3.928037	0	1.371028	0.177507	0.336569	0.030216	0.412381	0.032616	0	-0.260417	0	0	0	0.875
10009	How is it suppose to work if you do that? Wtf dude? Thanks for pissing me off. 	0	0	1	0	2	-7	3.606	-4.473	1.499	-6.875	0	0	0	0	0	0	0	0	0	0	1.966543	1.152473	1.650029	1.413339	1.233725	1.04773	0.588346	1.407167	5.39966	3.02006	2.469695	0.061206	1.400951	0.053112	0.225111	0	0.967031	0.30093	0.241543	-1.019551	0	0	0	0.875
10010	im so mad about power rangers. im incensed. im furious.	0	2	0	2	0	-8	1.057	-2.821	1.376	-1.98	2	0	2	1	0	1	0	0	2	0	0.456883	0.38793	0.222596	0.329267	0.268686	0.271456	0.173719	0.41593	1.882849	1.135509	2.374433	0.968777	0	0.039208	0	0.088955	0.046772	0	0.171875	-0.422917	0	0	0	0.667
10011	Wont use using @mothercareuk @Mothercarehelp again!! These guys cant get nothing right!! #fuming	1	0	1	0	0	0	2	-3.401	0.276	-5.786	0	1	0	0	0	0	0	0	0	0	0.76157	0.647647	0.314288	0.400141	0.462646	0.260768	0.353076	0.343352	2.290261	1.092142	2.717485	0.001125	1.184025	0.333051	0.229401	0.248919	0	0.131416	1.181958	-0.025	0	0	3	0.854
10012	Bitches aggravate like what inspires you to be the biggest cunt known to man kind?	2	1	1	2	6	-12	3.617	-0.734	2.243	-5.855	0	0	0	0	1	0	0	1	0	1	1.834684	0.795495	2.002652	1.726717	0.964126	0.907414	0.57617	0.962555	5.117128	2.259153	1.129662	0.293475	2.27184	0.314285	0	0.464478	0.946256	0.715875	1.817857	-0.125	0	0	0	0.854
